nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -3.005391763E-01 -1.996539108E-03 -4.065676049E-01 -1.035901122E-02 -1.475265127E-04 -1.048891794E-02  1.474782386E-02 -1.077280615E-02 -4.065676049E-01 -1.996539108E-03 -3.005391763E-01 
         2  3.005391763E-01 -1.996539108E-03 -4.065676049E-01 -8.602957991E-03 -2.304154483E-04  8.730998416E-03  1.226827905E-02 -1.116350822E-02 -4.065676049E-01 -1.996539108E-03  3.005391763E-01 
         3 -3.006894509E-01  5.983957916E-03 -4.064173303E-01 -1.074694053E-02  8.893314231E-05 -1.087724037E-02  1.529307857E-02 -2.361669056E-03 -4.064173303E-01  5.983957916E-03 -3.006894509E-01 
         4  3.006894509E-01  5.983957916E-03 -4.064173303E-01 -9.372105757E-03 -3.111334935E-04  9.454429358E-03  1.331828869E-02 -8.425790497E-03 -4.064173303E-01  5.983957916E-03  3.006894509E-01 
         5 -3.009895740E-01 -9.954414546E-03 -4.061172072E-01 -9.606283096E-03 -2.033992828E-04 -9.754905590E-03  1.369650987E-02 -1.388766835E-02 -4.061172072E-01 -9.954414546E-03 -3.009895740E-01 
         6  3.009895740E-01 -9.954414546E-03 -4.061172072E-01 -9.501492386E-03 -4.278048005E-04  9.702884217E-03  1.358878162E-02 -6.320098033E-03 -4.061172072E-01 -9.954414546E-03  3.009895740E-01 
         7 -3.014386950E-01  1.389665431E-02 -4.056680862E-01 -1.013394494E-02  2.478744821E-04 -1.035418650E-02  1.449483922E-02  1.975340463E-03 -4.056680862E-01  1.389665431E-02 -3.014386950E-01 
         8  3.014386950E-01  1.389665431E-02 -4.056680862E-01 -9.429521083E-03 -6.543256935E-05  9.551345481E-03  1.342389267E-02  2.483558335E-03 -4.056680862E-01  1.389665431E-02  3.014386950E-01 
         9 -3.020355407E-01 -1.779950249E-02 -4.050712405E-01 -9.956352147E-03 -5.832004886E-05 -1.010786559E-02  1.418991502E-02 -8.676904590E-03 -4.050712405E-01 -1.779950249E-02 -3.020355407E-01 
        10  3.020355407E-01 -1.779950249E-02 -4.050712405E-01 -9.639645138E-03 -5.033251259E-04  9.935130613E-03  1.386072985E-02 -5.192721163E-03 -4.050712405E-01 -1.779950249E-02  3.020355407E-01 
        11 -3.027784194E-01  2.165189605E-02 -4.043283618E-01 -1.003437341E-02  2.289989654E-04 -1.025989845E-02  1.435603218E-02  7.328936070E-03 -4.043283618E-01  2.165189605E-02 -3.027784194E-01 
        12  3.027784194E-01  2.165189605E-02 -4.043283618E-01 -1.039975571E-02  1.730564577E-04  1.059708816E-02  1.485058168E-02  5.290998430E-03 -4.043283618E-01  2.165189605E-02  3.027784194E-01 
        13 -3.036652253E-01 -2.544291496E-02 -4.034415559E-01 -1.037851079E-02 -2.992371338E-04 -1.067620262E-02  1.489781146E-02 -3.524212172E-03 -4.034415559E-01 -2.544291496E-02 -3.036652253E-01 
        14  3.036652253E-01 -2.544291496E-02 -4.034415559E-01 -1.095556242E-02  1.040869973E-05  1.107694677E-02  1.558131388E-02 -1.327934475E-03 -4.034415559E-01 -2.544291496E-02  3.036652253E-01 
        15 -3.046934446E-01  2.916181316E-02 -4.024133366E-01 -1.003851346E-02  9.024882690E-05 -1.023386151E-02  1.433906980E-02  1.244438646E-02 -4.024133366E-01  2.916181316E-02 -3.046934446E-01 
        16  3.046934446E-01  2.916181316E-02 -4.024133366E-01 -1.044450775E-02  2.019533973E-04  1.071750176E-02  1.496860674E-02  8.593104901E-03 -4.024133366E-01  2.916181316E-02  3.046934446E-01 
        17 -2.956206954E-01  1.996539108E-03 -4.016491239E-01 -9.052854761E-03 -8.486218268E-06 -9.044734247E-03  1.280578230E-02 -1.635441425E-02 -4.016491239E-01  1.996539108E-03 -2.956206954E-01 
        18  2.956206786E-01  1.996539108E-03 -4.016491072E-01 -8.140340935E-03 -2.446847808E-04  8.127935533E-03  1.151270976E-02 -2.598256290E-02 -4.016491072E-01  1.996539108E-03  2.956206786E-01 
        19 -2.957665144E-01 -5.983957916E-03 -4.014943938E-01 -8.891135923E-03 -1.684386847E-04 -8.891959621E-03  1.257912485E-02 -2.901071077E-02 -4.014943938E-01 -5.983957916E-03 -2.957665144E-01 
        20  2.957665615E-01 -5.983957916E-03 -4.014944410E-01 -7.670515127E-03 -2.509176297E-04  7.700033513E-03  1.087848366E-02 -2.494166162E-02 -4.014944410E-01 -5.983957916E-03  2.957665615E-01 
        21 -3.058601627E-01 -3.279804903E-02 -4.012466185E-01 -9.398617346E-03 -4.229651034E-05 -9.548113064E-03  1.340187464E-02 -2.285612360E-03 -4.012466185E-01 -3.279804903E-02 -3.058601627E-01 
        22  3.058601627E-01 -3.279804903E-02 -4.012466185E-01 -1.082776470E-02 -4.482328106E-04  1.131537686E-02  1.567922813E-02 -9.843643028E-03 -4.012466185E-01 -3.279804903E-02  3.058601627E-01 
        23 -2.960645996E-01  9.954414546E-03 -4.011922328E-01 -8.904080148E-03  3.257292494E-04 -8.969239024E-03  1.264809170E-02 -5.264183183E-03 -4.011922328E-01  9.954414546E-03 -2.960645996E-01 
        24  2.960645305E-01  9.954414546E-03 -4.011921637E-01 -8.340916079E-03 -1.242517884E-04  8.330777102E-03  1.179191090E-02 -7.594586230E-03 -4.011921637E-01  9.954414546E-03  2.960645305E-01 
        25 -2.965108953E-01 -1.389665431E-02 -4.007402865E-01 -8.732283433E-03 -1.742225433E-05 -8.744150474E-03  1.235971242E-02 -2.371809452E-02 -4.007402865E-01 -1.389665431E-02 -2.965108953E-01 
        26  2.965109603E-01 -1.389665431E-02 -4.007403515E-01 -8.639409787E-03 -3.604349815E-04  8.755220715E-03  1.231130957E-02 -2.121250301E-02 -4.007403515E-01 -1.389665431E-02  2.965109603E-01 
        27 -2.971082077E-01  1.779950249E-02 -4.001439074E-01 -8.373490500E-03  3.784789854E-04 -8.507303439E-03  1.195733551E-02 -4.444167557E-03 -4.001439074E-01  1.779950249E-02 -2.971082077E-01 
        28  2.971081604E-01  1.779950249E-02 -4.001438602E-01 -9.359992283E-03  2.241235672E-04  9.441907003E-03  1.329945179E-02 -3.648015380E-03 -4.001438602E-01  1.779950249E-02  2.971081604E-01 
