nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -1.850711129E-01 -1.996539108E-03 -4.704994123E-01 -1.604277201E-02 -3.039386990E-04 -9.386738174E-03  1.859267703E-02  6.090676554E-04 -4.704994123E-01 -1.996539108E-03 -1.850711129E-01 
         2  1.850711129E-01 -1.996539108E-03 -4.704994123E-01 -1.536239167E-02  3.978113409E-04  8.992156517E-03  1.780956189E-02 -3.747454812E-03 -4.704994123E-01 -1.996539108E-03  1.850711129E-01 
         3 -1.852551609E-01  5.983957916E-03 -4.703931522E-01 -1.735705823E-02 -1.216239931E-04 -1.013672222E-02  2.010392435E-02  9.984401368E-03 -4.703931522E-01  5.983957916E-03 -1.852551609E-01 
         4  1.852551609E-01  5.983957916E-03 -4.703931522E-01 -1.459573466E-02 -7.090026620E-05  8.528032231E-03  1.691063996E-02  2.883826876E-03 -4.703931522E-01  5.983957916E-03  1.852551609E-01 
         5 -1.856227352E-01 -9.954414546E-03 -4.701809331E-01 -1.465290143E-02 -1.468666835E-05 -8.583089066E-03  1.698919098E-02  3.041324489E-03 -4.701809331E-01 -9.954414546E-03 -1.856227352E-01 
         6  1.856227352E-01 -9.954414546E-03 -4.701809331E-01 -1.662158923E-02  3.736569843E-04  9.673827024E-03  1.924283479E-02 -1.164950683E-02 -4.701809331E-01 -9.954414546E-03  1.856227352E-01 
         7 -1.861727938E-01  1.389665431E-02 -4.698633566E-01 -1.717738515E-02  5.198084639E-04 -1.016788899E-02  1.997288959E-02  6.812365187E-03 -4.698633566E-01  1.389665431E-02 -1.861727938E-01 
         8  1.861727938E-01  1.389665431E-02 -4.698633566E-01 -1.445544018E-02  2.964598119E-04  8.576711531E-03  1.681992960E-02  3.336481427E-03 -4.698633566E-01  1.389665431E-02  1.861727938E-01 
         9 -1.869037776E-01 -1.779950249E-02 -4.694413229E-01 -1.704098309E-02 -1.543599326E-04 -1.000546831E-02  1.976492532E-02  7.991967536E-03 -4.694413229E-01 -1.779950249E-02 -1.869037776E-01 
        10  1.869037776E-01 -1.779950249E-02 -4.694413229E-01 -1.770432498E-02  5.444201245E-04  1.022477243E-02  2.045806460E-02  8.471786747E-03 -4.694413229E-01 -1.779950249E-02  1.869037776E-01 
        11 -1.878136144E-01  2.165189605E-02 -4.689160283E-01 -1.296943307E-02  4.395110723E-04 -7.749090729E-03  1.512167638E-02  1.262610427E-03 -4.689160283E-01  2.165189605E-02 -1.878136144E-01 
        12  1.878136144E-01  2.165189605E-02 -4.689160283E-01 -1.361341485E-02  3.215015056E-04  8.084268176E-03  1.584533826E-02  3.910156521E-03 -4.689160283E-01  2.165189605E-02  1.878136144E-01 
        13 -1.888997254E-01 -2.544291496E-02 -4.682889619E-01 -1.548076593E-02 -4.758586843E-04 -9.291464131E-03  1.806450279E-02  1.579098411E-03 -4.682889619E-01 -2.544291496E-02 -1.888997254E-01 
        14  1.888997254E-01 -2.544291496E-02 -4.682889619E-01 -1.678460180E-02 -5.186582645E-04  1.012679380E-02  1.961936456E-02  3.746738868E-03 -4.682889619E-01 -2.544291496E-02  1.888997254E-01 
        15 -1.901590317E-01  2.916181316E-02 -4.675619011E-01 -1.328109347E-02  1.330347069E-04 -7.852696608E-03  1.543261718E-02  1.026578164E-02 -4.675619011E-01  2.916181316E-02 -1.901590317E-01 
        16  1.901590317E-01  2.916181316E-02 -4.675619011E-01 -1.467576949E-02  3.825413009E-04  8.823391769E-03  1.714328506E-02 -3.518276190E-05 -4.675619011E-01  2.916181316E-02  1.901590317E-01 
        17 -1.915879637E-01 -3.279804903E-02 -4.667369068E-01 -1.440334134E-02 -5.151109816E-04 -8.756700593E-03  1.686675683E-02  8.533431060E-03 -4.667369068E-01 -3.279804903E-02 -1.915879637E-01 
        18  1.915879637E-01 -3.279804903E-02 -4.667369068E-01 -1.460085707E-02 -5.107828929E-04  8.849311004E-03  1.708814377E-02 -1.085497316E-02 -4.667369068E-01 -3.279804903E-02  1.915879637E-01 
        19 -1.931824710E-01  3.634131527E-02 -4.658163176E-01 -1.399461456E-02  4.087470416E-04 -8.479675930E-03  1.637110296E-02  7.406569381E-03 -4.658163176E-01  3.634131527E-02 -1.931824710E-01 
        20  1.931824710E-01  3.634131527E-02 -4.658163176E-01 -1.455158404E-02  7.086627975E-04  8.971424613E-03  1.711615522E-02 -2.717507669E-02 -4.658163176E-01  3.634131527E-02  1.931824710E-01 
        21 -1.949380337E-01 -3.978156811E-02 -4.648027429E-01 -1.420310352E-02 -4.677326403E-04 -8.671902293E-03  1.665121936E-02 -7.410581532E-04 -4.648027429E-01 -3.978156811E-02 -1.949380337E-01 
        22  1.949380337E-01 -3.978156811E-02 -4.648027429E-01 -1.410953443E-02 -1.028249567E-04  8.367487956E-03  1.640597918E-02 -6.510314379E-03 -4.648027429E-01 -3.978156811E-02  1.949380337E-01 
        23 -1.816071129E-01  1.996539108E-03 -4.644995883E-01 -1.625668440E-02 -1.338512367E-04 -9.376898505E-03  1.877207710E-02  1.058467486E-03 -4.644995883E-01  1.996539108E-03 -1.816071129E-01 
        24  1.816071129E-01  1.996539108E-03 -4.644995883E-01 -1.304389950E-02  3.206498503E-04  7.532120430E-03  1.507079105E-02 -1.764740647E-02 -4.644995883E-01  1.996539108E-03  1.816071129E-01 
        25 -1.817911609E-01 -5.983957916E-03 -4.643933282E-01 -1.450945503E-02 -1.394083235E-05 -8.386362027E-03  1.676532684E-02 -4.369481362E-03 -4.643933282E-01 -5.983957916E-03 -1.817911609E-01 
        26  1.817911609E-01 -5.983957916E-03 -4.643933282E-01 -1.570136529E-02  2.656300152E-04  9.076681495E-03  1.814205931E-02 -2.002976926E-02 -4.643933282E-01 -5.983957916E-03  1.817911609E-01 
        27 -1.821587352E-01  9.954414546E-03 -4.641811091E-01 -1.549881602E-02  2.130887605E-04 -8.981949646E-03  1.792110900E-02 -4.018632368E-03 -4.641811091E-01  9.954414546E-03 -1.821587352E-01 
        28  1.821587352E-01  9.954414546E-03 -4.641811091E-01 -1.236891027E-02  1.644153531E-04  7.176063595E-03  1.430720762E-02 -1.296800605E-02 -4.641811091E-01  9.954414546E-03  1.821587352E-01 
        29 -1.827087938E-01 -1.389665431E-02 -4.638635326E-01 -1.396447869E-02  1.411475077E-04 -8.023022439E-03  1.610951488E-02  4.114916249E-03 -4.638635326E-01 -1.389665431E-02 -1.827087938E-01 
