nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
        40 -4.021241692E-01  2.920372900E-02 -3.035005079E-01  4.463230179E-02  0.000000000E+00 -3.035005079E-01  2.920372900E-02 -4.021241692E-01 
        41 -4.023263478E-01  4.310905577E-02 -3.031503244E-01  0.000000000E+00 -1.096574916E-02 -3.031503244E-01  4.310905577E-02 -4.023263478E-01 
        42  4.023263478E-01  4.310905577E-02 -3.031503244E-01  0.000000000E+00 -1.664464312E-02 -3.031503244E-01  4.310905577E-02  4.023263478E-01 
        43  4.025566790E-01  1.417428354E-02 -3.027513790E-01  5.586814583E-02  0.000000000E+00 -3.027513790E-01  1.417428354E-02  4.025566790E-01 
        44 -4.025743014E-01  7.345040167E-03 -3.027208561E-01  5.631400414E-02  0.000000000E+00 -3.027208561E-01  7.345040167E-03 -4.025743014E-01 
        45  4.028757902E-01 -2.406881830E-02 -3.021986623E-01  5.274660327E-02  0.000000000E+00 -3.021986623E-01 -2.406881830E-02  4.028757902E-01 
        46  4.032535109E-01 -2.902844789E-02 -3.015444309E-01  4.989492439E-02  0.000000000E+00 -3.015444309E-01 -2.902844789E-02  4.032535109E-01 
        47 -4.033404275E-01 -8.072979593E-05 -3.013938868E-01  5.783007740E-02  0.000000000E+00 -3.013938868E-01 -8.072979593E-05 -4.033404275E-01 
        48  4.034203108E-01  5.619209350E-04 -3.012555249E-01  5.653221562E-02  0.000000000E+00 -3.012555249E-01  5.619209350E-04  4.034203108E-01 
        49 -4.035170185E-01 -4.631434612E-02 -3.010880222E-01  0.000000000E+00 -2.404667012E-05 -3.010880222E-01 -4.631434612E-02 -4.035170185E-01 
        50  4.035170185E-01 -4.631434612E-02 -3.010880222E-01  0.000000000E+00 -9.471935579E-03 -3.010880222E-01 -4.631434612E-02  4.035170185E-01 
        51 -4.036715133E-01 -8.353601055E-03 -3.008204294E-01  5.800096882E-02  0.000000000E+00 -3.008204294E-01 -8.353601055E-03 -4.036715133E-01 
        52  4.036853224E-01 -8.698652227E-03 -3.007965114E-01  5.731606299E-02  0.000000000E+00 -3.007965114E-01 -8.698652227E-03  4.036853224E-01 
        53 -4.038800835E-01 -1.832732277E-02 -3.004591752E-01  5.646543895E-02  0.000000000E+00 -3.004591752E-01 -1.832732277E-02 -4.038800835E-01 
        54 -4.039584554E-01 -3.334083166E-02 -3.003234311E-01  4.743376499E-02  0.000000000E+00 -3.003234311E-01 -3.334083166E-02 -4.039584554E-01 
        55  4.040625102E-01 -1.816653026E-02 -3.001432029E-01  5.710329103E-02  0.000000000E+00 -3.001432029E-01 -1.816653026E-02  4.040625102E-01 
        56  4.040843834E-01  8.006949836E-03 -3.001053174E-01  5.802121504E-02  0.000000000E+00 -3.001053174E-01  8.006949836E-03  4.040843834E-01 
        57 -4.043196232E-01  3.369064962E-02 -2.996978702E-01  5.031735096E-02  0.000000000E+00 -2.996978702E-01  3.369064962E-02 -4.043196232E-01 
        58  4.043742664E-01  3.366636597E-02 -2.996032254E-01  4.992941985E-02  0.000000000E+00 -2.996032254E-01  3.366636597E-02  4.043742664E-01 
        59  4.046306623E-01 -3.474727069E-02 -2.991591347E-01  4.876141271E-02  0.000000000E+00 -2.991591347E-01 -3.474727069E-02  4.046306623E-01 
        60 -4.047912980E-01  4.938835343E-02 -2.988809054E-01  0.000000000E+00 -1.314461964E-02 -2.988809054E-01  4.938835343E-02 -4.047912980E-01 
        61  4.047912980E-01  4.938835343E-02 -2.988809054E-01  0.000000000E+00 -1.738390735E-02 -2.988809054E-01  4.938835343E-02  4.047912980E-01 
        62  4.051465416E-01  1.882354363E-02 -2.982656054E-01  5.837648424E-02  0.000000000E+00 -2.982656054E-01  1.882354363E-02  4.051465416E-01 
        63 -4.051921148E-01 -3.992780924E-02 -2.981866703E-01  4.406468860E-02  0.000000000E+00 -2.981866703E-01 -3.992780924E-02 -4.051921148E-01 
        64 -4.054214848E-01  1.482663543E-02 -2.977893898E-01  5.814732261E-02  0.000000000E+00 -2.977893898E-01  1.482663543E-02 -4.054214848E-01 
        65  4.055199893E-01  2.551522061E-02 -2.976187750E-01  5.790098810E-02  0.000000000E+00 -2.976187750E-01  2.551522061E-02  4.055199893E-01 
        66 -4.056762989E-01  2.501100367E-02 -2.973480388E-01  5.785553579E-02  0.000000000E+00 -2.973480388E-01  2.501100367E-02 -4.056762989E-01 
        67  4.058075056E-01 -4.002661022E-02 -2.971207822E-01  4.524113068E-02  0.000000000E+00 -2.971207822E-01 -4.002661022E-02  4.058075056E-01 
        68  4.058798261E-01 -2.596809974E-02 -2.969955194E-01  5.770136326E-02  0.000000000E+00 -2.969955194E-01 -2.596809974E-02  4.058798261E-01 
        69 -4.061455741E-01 -5.232236409E-02 -2.965352303E-01  0.000000000E+00  1.859055678E-03 -2.965352303E-01 -5.232236409E-02 -4.061455741E-01 
        70  4.061455741E-01 -5.232236409E-02 -2.965352303E-01  0.000000000E+00  6.266781546E-03 -2.965352303E-01 -5.232236409E-02  4.061455741E-01 
        71 -4.062079806E-01 -2.688522748E-02 -2.964271392E-01  5.851506802E-02  0.000000000E+00 -2.964271392E-01 -2.688522748E-02 -4.062079806E-01 
        72  4.066557396E-01  1.244038713E-02 -2.956515978E-01  5.874839755E-02  0.000000000E+00 -2.956515978E-01  1.244038713E-02  4.066557396E-01 
        73 -4.066684027E-01  3.951764522E-02 -2.956296646E-01  5.171048658E-02  0.000000000E+00 -2.956296646E-01  3.951764522E-02 -4.066684027E-01 
        74  4.066684027E-01  3.951764522E-02 -2.956296646E-01  5.179131523E-02  0.000000000E+00 -2.956296646E-01  3.951764522E-02  4.066684027E-01 
        75 -4.067991838E-01  5.054816458E-03 -2.954031451E-01  5.790299211E-02  0.000000000E+00 -2.954031451E-01  5.054816458E-03 -4.067991838E-01 
        76 -4.075760080E-01  5.510806131E-02 -2.940576461E-01  0.000000000E+00 -2.453858418E-02 -2.940576461E-01  5.510806131E-02 -4.075760080E-01 
        77  4.075760080E-01  5.510806131E-02 -2.940576461E-01  0.000000000E+00 -1.625435196E-02 -2.940576461E-01  5.510806131E-02  4.075760080E-01 
        78  4.077644318E-01  4.253599085E-03 -2.937312865E-01  5.649239346E-02  0.000000000E+00 -2.937312865E-01  4.253599085E-03  4.077644318E-01 
        79 -4.077751433E-01 -1.323616916E-02 -2.937127337E-01  5.732641444E-02  0.000000000E+00 -2.937127337E-01 -1.323616916E-02 -4.077751433E-01 
        80  4.077751433E-01 -1.323616916E-02 -2.937127337E-01  5.824012567E-02  0.000000000E+00 -2.937127337E-01 -1.323616916E-02  4.077751433E-01 
        81 -4.078243749E-01 -3.998666946E-03 -2.936274620E-01  5.606975172E-02  0.000000000E+00 -2.936274620E-01 -3.998666946E-03 -4.078243749E-01 
        82  4.078303237E-01 -4.106570447E-03 -2.936171585E-01  5.597382819E-02  0.000000000E+00 -2.936171585E-01 -4.106570447E-03  4.078303237E-01 
        83 -4.080093296E-01 -2.068436982E-02 -2.933071112E-01  5.852638696E-02  0.000000000E+00 -2.933071112E-01 -2.068436982E-02 -4.080093296E-01 
        84 -4.080592006E-01 -4.450942930E-02 -2.932207321E-01  4.758866101E-02  0.000000000E+00 -2.932207321E-01 -4.450942930E-02 -4.080592006E-01 
        85  4.080592006E-01 -4.450942930E-02 -2.932207321E-01  4.752074369E-02  0.000000000E+00 -2.932207321E-01 -4.450942930E-02  4.080592006E-01 
        86  4.083742701E-01 -2.901777052E-02 -2.926750158E-01  5.900794661E-02  0.000000000E+00 -2.926750158E-01 -2.901777052E-02  4.083742701E-01 
