nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1 -3.955259915E-01 -1.996539108E-03 -3.149288871E-01 -2.496430567E-02 -3.854921299E-04 -4.385961217E-02  5.047354707E-02 -1.287932184E-02 -3.149288871E-01 -1.996539108E-03 -3.955259915E-01 
         2  3.955259915E-01 -1.996539108E-03 -3.149288871E-01 -1.978953523E-02 -1.248222193E-04  3.474512494E-02  3.999124111E-02 -7.673649387E-04 -3.149288871E-01 -1.996539108E-03  3.955259915E-01 
         3 -3.956322516E-01  5.983957916E-03 -3.147448391E-01 -1.918019338E-02 -3.673505445E-04 -3.374712119E-02  3.882285373E-02  8.966244691E-03 -3.147448391E-01  5.983957916E-03 -3.956322516E-01 
         4  3.956322516E-01  5.983957916E-03 -3.147448391E-01 -1.979064637E-02 -2.835483514E-04  3.473340073E-02  3.998313354E-02  4.390356166E-02 -3.147448391E-01  5.983957916E-03  3.956322516E-01 
         5 -3.958444707E-01 -9.954414546E-03 -3.143772648E-01 -1.980695031E-02 -8.485698155E-04 -3.511617992E-02  4.033253859E-02  3.132811073E-02 -3.143772648E-01 -9.954414546E-03 -3.958444707E-01 
         6  3.958444707E-01 -9.954414546E-03 -3.143772648E-01 -1.829592207E-02  2.484425163E-04  3.215547569E-02  3.700329582E-02  1.813127614E-02 -3.143772648E-01 -9.954414546E-03  3.958444707E-01 
         7 -3.961620472E-01  1.389665431E-02 -3.138272062E-01 -1.654050178E-02 -3.846103837E-04 -2.891847817E-02  3.332034397E-02  3.310623639E-02 -3.138272062E-01  1.389665431E-02 -3.961620472E-01 
         8  3.961620472E-01  1.389665431E-02 -3.138272062E-01 -1.928659050E-02 -9.721035719E-05  3.388734194E-02  3.901071409E-02 -1.594629363E-02 -3.138272062E-01  1.389665431E-02  3.961620472E-01 
         9 -3.965840809E-01 -1.779950249E-02 -3.130962224E-01 -1.721254507E-02 -1.071548287E-03 -3.083651833E-02  3.533513631E-02  2.712259565E-02 -3.130962224E-01 -1.779950249E-02 -3.965840809E-01 
        10  3.965840809E-01 -1.779950249E-02 -3.130962224E-01 -1.908226508E-02  3.172229379E-04  3.336481228E-02  3.844336701E-02  4.622573294E-02 -3.130962224E-01 -1.779950249E-02  3.965840809E-01 
        11 -3.971093755E-01  2.165189605E-02 -3.121863856E-01 -1.738678606E-02 -7.223995773E-04 -3.010892008E-02  3.478158752E-02  4.268803674E-03 -3.121863856E-01  2.165189605E-02 -3.971093755E-01 
