nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
        34 -4.012226608E-01 -3.978156811E-02 -3.050619663E-01  0.000000000E+00 -5.400879119E-03 -3.050619663E-01 -3.978156811E-02 -4.012226608E-01 
        35  4.012226608E-01 -3.978156811E-02 -3.050619663E-01  0.000000000E+00 -5.667680551E-03 -3.050619663E-01 -3.978156811E-02  4.012226608E-01 
        36  4.015553078E-01  2.199143284E-02 -3.044858048E-01  2.082584805E-02  0.000000000E+00 -3.044858048E-01  2.199143284E-02  4.015553078E-01 
        37 -4.017937005E-01 -2.621050751E-02 -3.040728966E-01  1.907434577E-02  0.000000000E+00 -3.040728966E-01 -2.621050751E-02 -4.017937005E-01 
        38 -4.019523352E-01  2.181386325E-02 -3.037981332E-01  2.118010069E-02  0.000000000E+00 -3.037981332E-01  2.181386325E-02 -4.019523352E-01 
        39  4.020895367E-01  2.923975948E-02 -3.035604932E-01  1.832608177E-02  0.000000000E+00 -3.035604932E-01  2.923975948E-02  4.020895367E-01 
        40 -4.021241692E-01  2.920372900E-02 -3.035005079E-01  1.807290411E-02  0.000000000E+00 -3.035005079E-01  2.920372900E-02 -4.021241692E-01 
        41 -4.023263478E-01  4.310905577E-02 -3.031503244E-01  0.000000000E+00 -6.625766367E-03 -3.031503244E-01  4.310905577E-02 -4.023263478E-01 
        42  4.023263478E-01  4.310905577E-02 -3.031503244E-01  0.000000000E+00 -7.324842342E-03 -3.031503244E-01  4.310905577E-02  4.023263478E-01 
        43  4.025566790E-01  1.417428354E-02 -3.027513790E-01  2.562027804E-02  0.000000000E+00 -3.027513790E-01  1.417428354E-02  4.025566790E-01 
        44 -4.025743014E-01  7.345040167E-03 -3.027208561E-01  2.613255935E-02  0.000000000E+00 -3.027208561E-01  7.345040167E-03 -4.025743014E-01 
        45  4.028757902E-01 -2.406881830E-02 -3.021986623E-01  2.349595600E-02  0.000000000E+00 -3.021986623E-01 -2.406881830E-02  4.028757902E-01 
        46  4.032535109E-01 -2.902844789E-02 -3.015444309E-01  2.139367377E-02  0.000000000E+00 -3.015444309E-01 -2.902844789E-02  4.032535109E-01 
        47 -4.033404275E-01 -8.072979593E-05 -3.013938868E-01  2.708938211E-02  0.000000000E+00 -3.013938868E-01 -8.072979593E-05 -4.033404275E-01 
        48  4.034203108E-01  5.619209350E-04 -3.012555249E-01  2.632197042E-02  0.000000000E+00 -3.012555249E-01  5.619209350E-04  4.034203108E-01 
        49 -4.035170185E-01 -4.631434612E-02 -3.010880222E-01  0.000000000E+00 -1.992396641E-03 -3.010880222E-01 -4.631434612E-02 -4.035170185E-01 
        50  4.035170185E-01 -4.631434612E-02 -3.010880222E-01  0.000000000E+00 -5.485199663E-03 -3.010880222E-01 -4.631434612E-02  4.035170185E-01 
        51 -4.036715133E-01 -8.353601055E-03 -3.008204294E-01  2.704782642E-02  0.000000000E+00 -3.008204294E-01 -8.353601055E-03 -4.036715133E-01 
        52  4.036853224E-01 -8.698652227E-03 -3.007965114E-01  2.658322755E-02  0.000000000E+00 -3.007965114E-01 -8.698652227E-03  4.036853224E-01 
        53 -4.038800835E-01 -1.832732277E-02 -3.004591752E-01  2.598911578E-02  0.000000000E+00 -3.004591752E-01 -1.832732277E-02 -4.038800835E-01 
        54 -4.039584554E-01 -3.334083166E-02 -3.003234311E-01  2.001562621E-02  0.000000000E+00 -3.003234311E-01 -3.334083166E-02 -4.039584554E-01 
        55  4.040625102E-01 -1.816653026E-02 -3.001432029E-01  2.625034410E-02  0.000000000E+00 -3.001432029E-01 -1.816653026E-02  4.040625102E-01 
        56  4.040843834E-01  8.006949836E-03 -3.001053174E-01  2.707401091E-02  0.000000000E+00 -3.001053174E-01  8.006949836E-03  4.040843834E-01 
        57 -4.043196232E-01  3.369064962E-02 -2.996978702E-01  2.111656071E-02  0.000000000E+00 -2.996978702E-01  3.369064962E-02 -4.043196232E-01 
        58  4.043742664E-01  3.366636597E-02 -2.996032254E-01  2.124468290E-02  0.000000000E+00 -2.996032254E-01  3.366636597E-02  4.043742664E-01 
        59  4.046306623E-01 -3.474727069E-02 -2.991591347E-01  2.077304637E-02  0.000000000E+00 -2.991591347E-01 -3.474727069E-02  4.046306623E-01 
        60 -4.047912980E-01  4.938835343E-02 -2.988809054E-01  0.000000000E+00 -7.951839016E-03 -2.988809054E-01  4.938835343E-02 -4.047912980E-01 
        61  4.047912980E-01  4.938835343E-02 -2.988809054E-01  0.000000000E+00 -7.107664537E-03 -2.988809054E-01  4.938835343E-02  4.047912980E-01 
        62  4.051465416E-01  1.882354363E-02 -2.982656054E-01  2.696623028E-02  0.000000000E+00 -2.982656054E-01  1.882354363E-02  4.051465416E-01 
        63 -4.051921148E-01 -3.992780924E-02 -2.981866703E-01  1.787492907E-02  0.000000000E+00 -2.981866703E-01 -3.992780924E-02 -4.051921148E-01 
        64 -4.054214848E-01  1.482663543E-02 -2.977893898E-01  2.692555609E-02  0.000000000E+00 -2.977893898E-01  1.482663543E-02 -4.054214848E-01 
        65  4.055199893E-01  2.551522061E-02 -2.976187750E-01  2.638027559E-02  0.000000000E+00 -2.976187750E-01  2.551522061E-02  4.055199893E-01 
        66 -4.056762989E-01  2.501100367E-02 -2.973480388E-01  2.645005046E-02  0.000000000E+00 -2.973480388E-01  2.501100367E-02 -4.056762989E-01 
        67  4.058075056E-01 -4.002661022E-02 -2.971207822E-01  1.863930154E-02  0.000000000E+00 -2.971207822E-01 -4.002661022E-02  4.058075056E-01 
        68  4.058798261E-01 -2.596809974E-02 -2.969955194E-01  2.634090458E-02  0.000000000E+00 -2.969955194E-01 -2.596809974E-02  4.058798261E-01 
        69 -4.061455741E-01 -5.232236409E-02 -2.965352303E-01  0.000000000E+00 -3.823693907E-04 -2.965352303E-01 -5.232236409E-02 -4.061455741E-01 
        70  4.061455741E-01 -5.232236409E-02 -2.965352303E-01  0.000000000E+00 -1.849939206E-03 -2.965352303E-01 -5.232236409E-02  4.061455741E-01 
