nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
         1  8.499999642E-01  0.000000000E+00  9.126417844E-09  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  8.499999642E-01 
         2  8.500000238E-01  7.751937956E-03  9.128610756E-09  2.809674015E-06  3.303717078E-09 -2.809671514E-06  7.751937956E-03  8.500000238E-01 
         3  8.499999642E-01  1.550387591E-02  9.135068701E-09  5.464641617E-06  9.930994693E-09 -5.464631613E-06  1.550387591E-02  8.499999642E-01 
         4  8.499999642E-01  2.325581387E-02  9.142782531E-09  7.971640116E-06  2.005764621E-08 -7.971610103E-06  2.325581387E-02  8.499999642E-01 
         5  8.499999642E-01  3.100775182E-02  9.149153435E-09  1.033800982E-05  3.354978872E-08 -1.033794615E-05  3.100775182E-02  8.499999642E-01 
         6  8.499999642E-01  3.875968978E-02  9.154289771E-09  1.257091935E-05  4.989350799E-08 -1.257080294E-05  3.875968978E-02  8.499999642E-01 
         7  8.499999642E-01  4.651162773E-02  9.158056535E-09  1.467747279E-05  6.878613590E-08 -1.467728544E-05  4.651162773E-02  8.499999642E-01 
         8  8.499999642E-01  5.426356569E-02  9.160447512E-09  1.666466778E-05  8.990531342E-08 -1.666438584E-05  5.426356569E-02  8.499999642E-01 
         9  8.499999642E-01  6.201550364E-02  9.161394310E-09  1.853941103E-05  1.129946412E-07 -1.853900903E-05  6.201550364E-02  8.499999642E-01 
        10  8.499999642E-01  6.976743788E-02  9.160855186E-09  2.030851829E-05  1.378271435E-07 -2.030796895E-05  6.976744533E-02  8.499999642E-01 
        11  8.499999642E-01  7.751937956E-02  9.158775072E-09  2.197871436E-05  1.642159191E-07 -2.197799222E-05  7.751937956E-02  8.499999642E-01 
        12  8.499999642E-01  8.527131379E-02  9.155094460E-09  2.355662400E-05  1.920079313E-07 -2.355569814E-05  8.527132124E-02  8.499999642E-01 
        13  8.499999642E-01  9.302325547E-02  9.149753843E-09  2.504877557E-05  2.210827432E-07 -2.504762051E-05  9.302325547E-02  8.499999642E-01 
        14  8.499999642E-01  1.007751897E-01  9.142691049E-09  2.646158828E-05  2.513504285E-07 -2.646016583E-05  1.007751971E-01  8.499999642E-01 
        15  8.499999642E-01  1.085271314E-01  9.133842127E-09  2.780136128E-05  2.827506478E-07 -2.779964598E-05  1.085271314E-01  8.499999642E-01 
        16  8.499999642E-01  1.162790656E-01  9.123139577E-09  2.907428279E-05  3.152491388E-07 -2.907223825E-05  1.162790731E-01  8.499999642E-01 
        17  8.499999642E-01  1.240310073E-01  9.110513233E-09  3.028640276E-05  3.488372045E-07 -3.028398714E-05  1.240310073E-01  8.499999642E-01 
        18  8.499999642E-01  1.317829490E-01  9.095891151E-09  3.144361835E-05  3.835306757E-07 -3.144079892E-05  1.317829490E-01  8.499999642E-01 
        19  8.499999642E-01  1.395348758E-01  9.079200503E-09  3.255168849E-05  4.193666427E-07 -3.254842522E-05  1.395348907E-01  8.499999642E-01 
        20  8.499999642E-01  1.472868174E-01  9.060364015E-09  3.361621202E-05  4.564043365E-07 -3.361246490E-05  1.472868025E-01  8.499999642E-01 
        21  8.499999642E-01  1.550387591E-01  9.039298199E-09  3.464262409E-05  4.947232810E-07 -3.463834582E-05  1.550387591E-01  8.499999642E-01 
        22  8.499999642E-01  1.627906859E-01  9.015919566E-09  3.563617065E-05  5.344201668E-07 -3.563131395E-05  1.627907008E-01  8.499999642E-01 
        23  8.499999642E-01  1.705426276E-01  8.990134859E-09  3.660193397E-05  5.756115797E-07 -3.659644790E-05  1.705426425E-01  8.499999642E-01 
        24  8.499999642E-01  1.782945693E-01  8.961841047E-09  3.754479621E-05  6.184317840E-07 -3.753861893E-05  1.782945693E-01  8.499999642E-01 
        25  8.499999642E-01  1.860465109E-01  8.930931550E-09  3.846945401E-05  6.630287999E-07 -3.846252366E-05  1.860465109E-01  8.499999642E-01 
        26  8.499999642E-01  1.937984377E-01  8.897295345E-09  3.938040390E-05  7.095673027E-07 -3.937265865E-05  1.937984526E-01  8.499999642E-01 
