x,y,z,p,wss_x,wss_y,wss_z,wss_mag
-0.059270904,0.074613575,-0.049514287,0,-0.00154266190328,0.00100196227614,0.00035081453571999996,0.0018726465200650016
-0.078105054,-0.070903548,-0.043786033,0,-0.0013918784459,0.0022360613196,-0.00049792825682,0.002680527631290544
-0.059542305,-0.063048663,-0.11677078,0,0.0042019643886,-0.0021725944886000002,-0.0025408322977999998,0.005369590328926528
-0.075492661,-0.072194523,-0.047133927,0,-0.00189133044026,0.00139908919344,-0.000102913653508,0.002354819021821643
-0.052248664,-0.074796563,-0.058710624,0,-0.00032106647848,-0.00020106914322,0.00020743398061999997,0.0004319043184255417
-0.052997338,-0.044942409,-0.13776642,0,0.0057286824434,-0.00036856502792,-0.0057886193162,0.008152408006534561
-0.082426204,-0.069999672,-0.044612952,0,-0.00189328621002,0.00175292687146,-2.1649181284e-05,0.0025802623852602094
-0.071193995,0.072795972,-0.04604836,0,-0.0024371361397999996,0.0023161811601999996,-0.00021494302036,0.0033690545013083622
-0.052248431,0.074796555,-0.058710592,0,-0.000181238286594,-0.00050338505826,0.00117560302028,0.0012916215756553506
-0.10163458,0.052860282,-0.026571285,0,-0.00106269930222,0.0012745956699600001,-0.00024772240438,0.0016778826891208649
-0.054546494,-0.042783431,-0.1415161,0,0.006382212970799999,-0.00065802412788,-0.0042989739468,0.007723135059856532
-0.059547524,0.063051885,-0.11676912,0,0.0049278707942,-0.00177007799092,-0.0035368786994,0.0063187496858586
-0.067818975,0.073759505,-0.049341886,0,-0.0013018154049199999,0.0009470602226199999,0.000102005063892,0.0016130875508836085
-0.058234604,0.074844799,-0.053747688,0,0.00045046368902,0.00032772986886,-0.00031655035062,0.0006407250007188302
-0.069191427,-0.074150327,-0.054057504,0,-0.0010994941566199999,0.00037968891978,-6.9702668558e-05,0.001165293756204561
-0.07713465,-0.07269514,-0.051448592,0,-0.0003428244973,0.00083463806492,-0.00034319498544,0.0009653663208303683
-0.067642911,0.074886445,-0.07117589,0,-0.00124470101424,0.00076839270326,0.000197487927708,0.0014760452035299243
-0.046209059,-0.074679284,-0.055154625,0,3.8923324712000005e-05,-0.00054116375536,0.0004277224293,0.0006908832838101289
-0.067643676,-0.074886436,-0.071175744,0,-0.00093043708236,0.00065789612502,-8.919474388e-05,0.0011430206375576688
-0.070500795,0.07390504,-0.088031976,0,0.000197466008146,-0.0008971701601,0.0008622959503999999,0.0012599450093647797
-0.063629825,0.074069134,-0.047662302,0,-0.0003997562818,0.00079796108308,-0.00037321906828,0.0009673879510705925
-0.046208254,0.074679235,-0.055154726,0,0.00126118279168,-0.00107727728536,7.5013601702e-05,0.00166034195996568
-0.070500655,-0.073905031,-0.088032009,0,0.0022682957336000002,-0.00165811418416,-7.7453142434e-05,0.0028107840849224703
-0.084537027,-0.070570831,-0.04892015,0,-0.0017377700168999999,0.00178043675426,-0.00028803514086,0.002504548643952988
-0.074207311,-0.073686751,-0.055074446,0,-0.00190180005516,0.00147636157722,3.8741448716e-05,0.0024079011309326467
-0.085052802,-0.068276657,-0.04140035,0,-0.00128022470656,0.0014773871848399998,-0.00030548850433999997,0.001978628671454042
-0.083448882,-0.067565293,-0.037642595,0,-0.0020243865947999996,0.0023833891812,-0.00040803117222,0.0031535970750510237
-0.11190667,0.0055971054,-0.0062524641,0,0.0006067737967599999,-0.00010708249462399999,-0.00052036159554,0.0008064845263254461
-0.081857866,-0.071975323,-0.052407897,0,-0.0016584246928999999,0.00137139004454,2.8913105878e-05,0.0021521893699150627
-0.11298704,-0.025851952,-0.013522044,0,0.000127296820216,9.5067603762e-05,-0.00018501256355799999,0.00024386877290144437
-0.061688201,-0.070301598,-0.098350742,0,0.003014733148,-0.00171823416464,-0.0021094596506,0.00406088224597754
-0.066191333,-0.074693386,-0.058109228,0,-0.00037008491394,0.00034782108221999996,9.568145581e-06,0.0005079703713530234
-0.078049416,0.06770162,-0.032655078,0,-0.00057691077566,0.0013496205714600001,-0.0003703544401,0.0015137582836379211
-0.061687619,0.070302765,-0.098345738,0,0.0043222932956,-0.00169494645046,-0.00089375145466,0.004727986301357326
-0.076461455,0.070281653,-0.039678432,0,-0.00165968353814,0.00157870191994,-0.00034178785668,0.00231595944216842
-0.11510839,-0.018686557,-0.012482119,0,0.00023515425269999998,6.5943169796e-05,-0.00030936277238,0.0003941463549752544
-0.053601191,-0.074942831,-0.054824378,0,-0.00114649301146,0.00060205107096,0.00039247564522,0.0013531255852512573
-0.057884262,-0.058864677,-0.12346347,0,0.0048922460396,-0.0022820364324,-0.0025031200996,0.005950409382874788
-0.055221114,-0.055995014,-0.12563703,0,0.0064982608732,-0.0020078457206,-0.0033947439705999997,0.007601521258262639
-0.053600127,0.074942852,-0.054824674,0,-0.0006917106251,0.00023967028026,0.0002426154694,0.0007712118373756474
-0.07918194,0.068665376,-0.036746773,0,-0.00086933291816,0.0013771271243,-0.0003128004947,0.0016583313868355546
-0.065656582,0.074923527,-0.066961408,0,0.000157166314678,-0.00033885362029999997,-0.00017307103612800002,0.0004116753696862373
-0.11454402,-0.014624626,-0.010617058,0,0.0005653702376,-2.2625900678e-05,-0.00043539435624,0.0007139493556205617
-0.11009836,-0.033253039,-0.015135291,0,-0.00012111069133799999,0.00038707687736,-0.00024617417358000003,0.000474444972869281
-0.10992902,-0.040384052,-0.020721827,0,-0.00028231220339999997,0.00042717471106,-0.00027115798082,0.0005794006079735651
-0.049626472,-0.074901215,-0.052486798,0,0.00073890313918,-0.00053884949334,-3.3469740896e-05,0.0009151266847374076
-0.11298893,0.025848399,-0.013522104,0,0.000183389779768,6.863645348000001e-05,-0.00020437802016,0.00028304266320501776
-0.078109497,0.070906509,-0.043804046,0,-0.0028083400206,0.002610432875,5.499705366799999e-06,0.0038342096594922263
-0.065657374,-0.074923514,-0.066961361,0,-0.00048661463747999995,-0.0002163925359,0.0007460182607,0.0009166039386239171
-0.057892434,0.058869193,-0.12346338,0,0.0049656937236,-0.0015515752633799998,-0.0032298728366,0.006123526638722142
-0.075487354,0.072198665,-0.047149385,0,-0.0006859897939399999,0.00144827013496,-0.00042744628334,0.0016585471673570456
-0.11149069,0.00061963052,-0.005550431,0,0.00053337241124,5.9461306368e-05,-0.00057787790838,0.0007886473565673092
-0.05522975,0.055998901,-0.12563944,0,0.0038115773304,-0.00172784892264,-0.0023339687634,0.004791763123696154
-0.049624966,0.074901215,-0.052487169,0,0.00027220525324,-0.00043969842984,0.0005387337672,0.0007467693626660898
-0.061481656,-0.074859068,-0.057939275,0,-0.0005988479704000001,2.1849235652e-05,0.0003131932695,0.0006761555330032252
-0.06618365,0.074693899,-0.058107804,0,0.00030935452772,0.00058906274252,1.5382216824599998e-05,0.0006655311796155663
-0.082432852,0.070004877,-0.04463976,0,-0.00116475084112,0.002102615981,-0.0003396032625,0.0024275437918494865
-0.069179119,0.074151809,-0.054057887,0,-0.00063264551978,0.0006046505259999999,0.0002140223466,0.0009009151886464971
-0.11477956,0.018524443,-0.012106144,0,0.00022172023118,6.858500961e-06,-0.0002845395655,0.00036079033285950644
-0.077116545,0.072701119,-0.051464032,0,-0.00167429819096,0.00160272140286,-1.2240231863e-05,0.0023177877708525246
-0.10912702,-0.0069798574,-0.0036406983,0,0.0005922540076799999,4.5208891010000005e-05,-0.0005173752833999999,0.0007877092339896783
-0.07418333,0.07369073,-0.055079009,0,-0.0014577285052,0.00100386691296,0.000169482645154,0.0017780454270959626
-0.061481238,0.074859064,-0.057938841,0,-0.00181349354802,0.00122047980796,0.0006102720401,0.0022695289760820553
-0.11010108,0.033250525,-0.015136306,0,-5.8893947382e-05,0.00031425317971999996,-0.00018561452805,0.00036969759402190956
-0.085066055,0.068279733,-0.041423521,0,-0.00127714525584,0.0019263293028,-0.00030702564196,0.0023315465537195484
-0.11378338,0.014492183,-0.0098155934,0,0.00048776323296000003,-0.000100005533242,-0.00038173844998,0.0006274060266683298
-0.08408945,0.070671688,-0.048910363,0,-0.00131117008502,0.0014804874779,-0.0001157556282,0.001981012248707724
-0.083463185,0.067565089,-0.037656147,0,-0.0020781504038,0.0020821684218,-0.000161902984184,0.0029462428640291845
-0.081395287,0.072075775,-0.052389296,0,-0.0020307538393999998,0.0019291411129999999,9.9785326598e-05,0.00280276715078313
-0.062923757,-0.069387344,-0.10291531,0,0.0041586129232,-0.0032107801298,-0.00046337705324,0.005274266658066688
-0.062924792,0.069389828,-0.10290778,0,0.002311058438,-0.0016961029897,-0.00093465465724,0.0030151842039617908
-0.065347118,-0.067548194,-0.11124202,0,0.0022330304542,-0.00196518313566,-0.00029149169952000004,0.002988868879184262
-0.065351811,0.067551237,-0.11123742,0,0.0035886726164,-0.0020282874624,-0.0022137927136,0.00467903829398913
-0.073698295,0.074515056,-0.084569825,0,0.00131107570272,-0.00085854424896,-0.00035408232978,0.0016066710994934418
-0.073697924,-0.074515012,-0.08457042,0,-0.0003637387524,-0.00025851009064,0.0003880089452,0.000591341093207149
-0.081083675,-0.065830226,-0.030396205,0,-0.00037855922081999997,0.00138135603308,-0.0007359694043,0.0016103113170626532
-0.069087516,-0.072386488,-0.096417323,0,0.00088028854674,-0.00138961339106,0.00046591829416,0.0017096821806896912
-0.10993175,0.040382889,-0.020723598,0,-0.000200459232962,0.0005855178797400001,-0.00038973859864,0.0007313762826649561
