nodenumber     x-coordinate     y-coordinate         pressure velocity-magnitude       y-velocity       x-velocity     y-coordinate     x-coordinate 
        41  8.499999642E-01  3.100775182E-01  8.769657001E-09  2.363935491E-04  2.041613152E-05 -2.354854078E-04  3.100775182E-01  8.499999642E-01 
        42  8.499999642E-01  3.178294599E-01  7.201657937E-09  2.429062151E-04  2.253388629E-05 -2.418323711E-04  3.178294599E-01  8.499999642E-01 
        43  8.499999642E-01  3.255813718E-01  5.503215217E-09  2.495868830E-04  2.484723154E-05 -2.483190619E-04  3.255814016E-01  8.499999642E-01 
        44  8.499999642E-01  3.333333135E-01  3.664928805E-09  2.564361494E-04  2.736895840E-05 -2.549419296E-04  3.333333433E-01  8.499999642E-01 
        45  8.499999642E-01  3.410852551E-01  1.676879746E-09  2.634529956E-04  3.011194713E-05 -2.616952697E-04  3.410852849E-01  8.499999642E-01 
        46  8.499999642E-01  3.488371968E-01 -4.713556212E-10  2.706346568E-04  3.308910527E-05 -2.685713407E-04  3.488371968E-01  8.499999642E-01 
        47  8.499999642E-01  3.565891385E-01 -2.790631504E-09  2.779768547E-04  3.631324216E-05 -2.755601308E-04  3.565891385E-01  8.499999642E-01 
        48  8.499999642E-01  3.643410802E-01 -5.292228877E-09  2.854731283E-04  3.979694520E-05 -2.826490963E-04  3.643410802E-01  8.499999642E-01 
        49  8.499999642E-01  3.720930219E-01 -7.987789985E-09  2.931152994E-04  4.355245619E-05 -2.898233652E-04  3.720930219E-01  8.499999642E-01 
        50  8.499999642E-01  3.798449337E-01 -1.088931967E-08  3.008928325E-04  4.759148578E-05 -2.970651258E-04  3.798449636E-01  8.499999642E-01 
        51  8.499999642E-01  3.875968754E-01 -1.400906058E-08  3.087932128E-04  5.192508252E-05 -3.043541219E-04  3.875969052E-01  8.499999642E-01 
        52  8.499999642E-01  3.953488171E-01 -1.735933353E-08  3.168015101E-04  5.656341455E-05 -3.116670123E-04  3.953488469E-01  8.499999642E-01 
        53  8.499999642E-01  4.031007588E-01 -2.095259255E-08  3.249005822E-04  6.151564594E-05 -3.189778072E-04  4.031007886E-01  8.499999642E-01 
        54  8.499999642E-01  4.108527005E-01 -2.480131478E-08  3.330708714E-04  6.678966747E-05 -3.262574901E-04  4.108527005E-01  8.499999642E-01 
        55  8.499999642E-01  4.186046422E-01 -2.891763806E-08  3.412904334E-04  7.239191473E-05 -3.334742505E-04  4.186046422E-01  8.499999642E-01 
        56  8.499999642E-01  4.263565838E-01 -3.331334852E-08  3.495349083E-04  7.832716801E-05 -3.405933676E-04  4.263565838E-01  8.499999642E-01 
        57  8.499999642E-01  4.341085255E-01 -3.799973669E-08  3.577776661E-04  8.459833771E-05 -3.475774138E-04  4.341085255E-01  8.499999642E-01 
        58  8.499999642E-01  4.418604672E-01 -4.298712497E-08  3.659898066E-04  9.120632603E-05 -3.543863422E-04  4.418604672E-01  8.499999642E-01 
        59  8.499999642E-01  4.496123791E-01 -4.828542899E-08  3.741403343E-04  9.814963414E-05 -3.609778942E-04  4.496124089E-01  8.499999642E-01 
        60  8.499999642E-01  4.573643208E-01 -5.390291236E-08  3.821960709E-04  1.054243985E-04 -3.673070751E-04  4.573643506E-01  8.499999642E-01 
        61  8.499999642E-01  4.651162624E-01 -5.984689722E-08  3.901222371E-04  1.130240926E-04 -3.733274061E-04  4.651162922E-01  8.499999642E-01 
        62  8.499999642E-01  4.728682041E-01 -6.612270198E-08  3.978821624E-04  1.209392649E-04 -3.789906332E-04  4.728682041E-01  8.499999642E-01 
        63  8.499999642E-01  4.806201458E-01 -7.273370528E-08  4.054382443E-04  1.291576482E-04 -3.842471924E-04  4.806201458E-01  8.499999642E-01 
        64  8.499999642E-01  4.883720875E-01 -7.968184690E-08  4.127515131E-04  1.376637956E-04 -3.890468215E-04  4.883720875E-01  8.499999642E-01 
        65  8.499999642E-01  4.961240292E-01 -8.696598996E-08  4.197824164E-04  1.464391098E-04 -3.933386761E-04  4.961240292E-01  8.499999642E-01 
        66  8.500000238E-01  5.038759708E-01 -9.458278782E-08  4.264910822E-04  1.554618502E-04 -3.970721154E-04  5.038759708E-01  8.500000238E-01 
        67  8.499999642E-01  5.116279125E-01 -1.025261014E-07  4.328376672E-04  1.647069876E-04 -4.001970228E-04  5.116279125E-01  8.499999642E-01 
        68  8.499999642E-01  5.193798542E-01 -1.107867931E-07  4.387828521E-04  1.741462911E-04 -4.026645038E-04  5.193798542E-01  8.499999642E-01 
